"m","n","p","heter","tau","distri","method","rate","length","tp"
1,100,100,0,0.25,normal,cqcs,0.23,4,3
1,100,100,0,0.25,normal,aocqs,0.23,4,3
1,100,100,0,0.25,normal,cocqs,0.23,10,3
1,100,100,0,0.25,cauchy,cqcs,0.34,15,3
1,100,100,0,0.25,cauchy,aocqs,0.34,15,3
1,100,100,0,0.25,cauchy,cocqs,0.34,25,2
1,100,100,0,0.5,normal,cqcs,0.23,3,3
1,100,100,0,0.5,normal,aocqs,0.23,3,3
1,100,100,0,0.5,normal,cocqs,0.23,8,3
1,100,100,0,0.5,cauchy,cqcs,0.34,7,3
1,100,100,0,0.5,cauchy,aocqs,0.34,7,3
1,100,100,0,0.5,cauchy,cocqs,0.34,88,2
1,100,100,0,0.75,normal,cqcs,0.23,3,3
1,100,100,0,0.75,normal,aocqs,0.23,3,3
1,100,100,0,0.75,normal,cocqs,0.23,4,3
1,100,100,0,0.75,cauchy,cqcs,0.34,5,3
1,100,100,0,0.75,cauchy,aocqs,0.34,13,3
1,100,100,0,0.75,cauchy,cocqs,0.34,100,1
1,100,100,1,0.25,normal,cqcs,0.34,11,3
1,100,100,1,0.25,normal,aocqs,0.34,11,3
1,100,100,1,0.25,normal,cocqs,0.34,9,3
1,100,100,1,0.25,cauchy,cqcs,0.45,33,2
1,100,100,1,0.25,cauchy,aocqs,0.45,33,2
1,100,100,1,0.25,cauchy,cocqs,0.45,16,3
1,100,100,1,0.5,normal,cqcs,0.28,3,3
1,100,100,1,0.5,normal,aocqs,0.28,3,3
1,100,100,1,0.5,normal,cocqs,0.28,26,1
1,100,100,1,0.5,cauchy,cqcs,0.41,16,3
1,100,100,1,0.5,cauchy,aocqs,0.41,16,3
1,100,100,1,0.5,cauchy,cocqs,0.41,79,0
1,100,100,1,0.75,normal,cqcs,0.2,5,3
1,100,100,1,0.75,normal,aocqs,0.2,3,3
1,100,100,1,0.75,normal,cocqs,0.2,58,2
1,100,100,1,0.75,cauchy,cqcs,0.29,5,3
1,100,100,1,0.75,cauchy,aocqs,0.29,5,3
1,100,100,1,0.75,cauchy,cocqs,0.29,83,1
1,100,200,0,0.25,normal,cqcs,0.23,4,3
1,100,200,0,0.25,normal,aocqs,0.23,4,3
1,100,200,0,0.25,normal,cocqs,0.23,73,2
1,100,200,0,0.25,cauchy,cqcs,0.34,8,3
1,100,200,0,0.25,cauchy,aocqs,0.34,8,3
1,100,200,0,0.25,cauchy,cocqs,0.34,182,0
1,100,200,0,0.5,normal,cqcs,0.23,3,3
1,100,200,0,0.5,normal,aocqs,0.23,3,3
1,100,200,0,0.5,normal,cocqs,0.23,8,3
1,100,200,0,0.5,cauchy,cqcs,0.34,3,3
1,100,200,0,0.5,cauchy,aocqs,0.34,3,3
1,100,200,0,0.5,cauchy,cocqs,0.34,30,2
1,100,200,0,0.75,normal,cqcs,0.23,3,3
1,100,200,0,0.75,normal,aocqs,0.23,6,3
1,100,200,0,0.75,normal,cocqs,0.23,11,3
1,100,200,0,0.75,cauchy,cqcs,0.34,3,3
1,100,200,0,0.75,cauchy,aocqs,0.34,3,3
1,100,200,0,0.75,cauchy,cocqs,0.34,103,2
1,100,200,1,0.25,normal,cqcs,0.35,36,2
1,100,200,1,0.25,normal,aocqs,0.35,36,2
1,100,200,1,0.25,normal,cocqs,0.35,12,3
1,100,200,1,0.25,cauchy,cqcs,0.39,20,3
1,100,200,1,0.25,cauchy,aocqs,0.39,20,3
1,100,200,1,0.25,cauchy,cocqs,0.39,118,2
1,100,200,1,0.5,normal,cqcs,0.26,4,3
1,100,200,1,0.5,normal,aocqs,0.26,4,3
1,100,200,1,0.5,normal,cocqs,0.26,115,1
1,100,200,1,0.5,cauchy,cqcs,0.31,12,3
1,100,200,1,0.5,cauchy,aocqs,0.31,12,3
1,100,200,1,0.5,cauchy,cocqs,0.31,120,1
1,100,200,1,0.75,normal,cqcs,0.19,8,3
1,100,200,1,0.75,normal,aocqs,0.19,14,3
1,100,200,1,0.75,normal,cocqs,0.19,123,1
1,100,200,1,0.75,cauchy,cqcs,0.27,30,2
1,100,200,1,0.75,cauchy,aocqs,0.27,34,2
1,100,200,1,0.75,cauchy,cocqs,0.27,189,1
1,100,500,0,0.25,normal,cqcs,0.21,29,2
1,100,500,0,0.25,normal,aocqs,0.21,29,2
1,100,500,0,0.25,normal,cocqs,0.21,28,2
1,100,500,0,0.25,cauchy,cqcs,0.38,8,3
1,100,500,0,0.25,cauchy,aocqs,0.38,8,3
1,100,500,0,0.25,cauchy,cocqs,0.38,172,1
1,100,500,0,0.5,normal,cqcs,0.21,3,3
1,100,500,0,0.5,normal,aocqs,0.21,3,3
1,100,500,0,0.5,normal,cocqs,0.21,45,2
1,100,500,0,0.5,cauchy,cqcs,0.38,5,3
1,100,500,0,0.5,cauchy,aocqs,0.38,5,3
1,100,500,0,0.5,cauchy,cocqs,0.38,246,1
1,100,500,0,0.75,normal,cqcs,0.21,4,3
1,100,500,0,0.75,normal,aocqs,0.21,7,3
1,100,500,0,0.75,normal,cocqs,0.21,30,2
1,100,500,0,0.75,cauchy,cqcs,0.38,18,3
1,100,500,0,0.75,cauchy,aocqs,0.38,55,2
1,100,500,0,0.75,cauchy,cocqs,0.38,165,2
1,100,500,1,0.25,normal,cqcs,0.3,62,2
1,100,500,1,0.25,normal,aocqs,0.3,62,2
1,100,500,1,0.25,normal,cocqs,0.3,63,1
1,100,500,1,0.25,cauchy,cqcs,0.4,39,2
1,100,500,1,0.25,cauchy,aocqs,0.4,39,2
1,100,500,1,0.25,cauchy,cocqs,0.4,399,2
1,100,500,1,0.5,normal,cqcs,0.27,20,3
1,100,500,1,0.5,normal,aocqs,0.27,20,3
1,100,500,1,0.5,normal,cocqs,0.27,301,1
1,100,500,1,0.5,cauchy,cqcs,0.38,6,3
1,100,500,1,0.5,cauchy,aocqs,0.38,6,3
1,100,500,1,0.5,cauchy,cocqs,0.38,499,1
1,100,500,1,0.75,normal,cqcs,0.19,9,3
1,100,500,1,0.75,normal,aocqs,0.19,26,2
1,100,500,1,0.75,normal,cocqs,0.19,336,1
1,100,500,1,0.75,cauchy,cqcs,0.29,48,2
1,100,500,1,0.75,cauchy,aocqs,0.29,115,2
1,100,500,1,0.75,cauchy,cocqs,0.29,236,1
1,200,100,0,0.25,normal,cqcs,0.245,3,3
1,200,100,0,0.25,normal,aocqs,0.245,3,3
1,200,100,0,0.25,normal,cocqs,0.245,3,3
1,200,100,0,0.25,cauchy,cqcs,0.29,6,3
1,200,100,0,0.25,cauchy,aocqs,0.29,6,3
1,200,100,0,0.25,cauchy,cocqs,0.29,41,2
1,200,100,0,0.5,normal,cqcs,0.245,3,3
1,200,100,0,0.5,normal,aocqs,0.245,3,3
1,200,100,0,0.5,normal,cocqs,0.245,3,3
1,200,100,0,0.5,cauchy,cqcs,0.29,3,3
1,200,100,0,0.5,cauchy,aocqs,0.29,3,3
1,200,100,0,0.5,cauchy,cocqs,0.29,31,3
1,200,100,0,0.75,normal,cqcs,0.245,3,3
1,200,100,0,0.75,normal,aocqs,0.245,3,3
1,200,100,0,0.75,normal,cocqs,0.245,4,3
1,200,100,0,0.75,cauchy,cqcs,0.29,3,3
1,200,100,0,0.75,cauchy,aocqs,0.29,3,3
1,200,100,0,0.75,cauchy,cocqs,0.29,16,3
1,200,100,1,0.25,normal,cqcs,0.34,3,3
1,200,100,1,0.25,normal,aocqs,0.34,3,3
1,200,100,1,0.25,normal,cocqs,0.34,53,2
1,200,100,1,0.25,cauchy,cqcs,0.34,6,3
1,200,100,1,0.25,cauchy,aocqs,0.34,6,3
1,200,100,1,0.25,cauchy,cocqs,0.34,67,1
1,200,100,1,0.5,normal,cqcs,0.31,3,3
1,200,100,1,0.5,normal,aocqs,0.31,3,3
1,200,100,1,0.5,normal,cocqs,0.31,10,3
1,200,100,1,0.5,cauchy,cqcs,0.265,3,3
1,200,100,1,0.5,cauchy,aocqs,0.265,3,3
1,200,100,1,0.5,cauchy,cocqs,0.265,86,1
1,200,100,1,0.75,normal,cqcs,0.22,4,3
1,200,100,1,0.75,normal,aocqs,0.22,4,3
1,200,100,1,0.75,normal,cocqs,0.22,93,1
1,200,100,1,0.75,cauchy,cqcs,0.26,5,3
1,200,100,1,0.75,cauchy,aocqs,0.26,12,3
1,200,100,1,0.75,cauchy,cocqs,0.26,53,1
1,200,200,0,0.25,normal,cqcs,0.22,3,3
1,200,200,0,0.25,normal,aocqs,0.22,3,3
1,200,200,0,0.25,normal,cocqs,0.22,6,3
1,200,200,0,0.25,cauchy,cqcs,0.325,9,3
1,200,200,0,0.25,cauchy,aocqs,0.325,9,3
1,200,200,0,0.25,cauchy,cocqs,0.325,172,1
1,200,200,0,0.5,normal,cqcs,0.22,3,3
1,200,200,0,0.5,normal,aocqs,0.22,3,3
1,200,200,0,0.5,normal,cocqs,0.22,4,3
1,200,200,0,0.5,cauchy,cqcs,0.325,3,3
1,200,200,0,0.5,cauchy,aocqs,0.325,3,3
1,200,200,0,0.5,cauchy,cocqs,0.325,42,2
1,200,200,0,0.75,normal,cqcs,0.22,3,3
1,200,200,0,0.75,normal,aocqs,0.22,3,3
1,200,200,0,0.75,normal,cocqs,0.22,17,3
1,200,200,0,0.75,cauchy,cqcs,0.325,4,3
1,200,200,0,0.75,cauchy,aocqs,0.325,7,3
1,200,200,0,0.75,cauchy,cocqs,0.325,44,2
1,200,200,1,0.25,normal,cqcs,0.28,3,3
1,200,200,1,0.25,normal,aocqs,0.28,3,3
1,200,200,1,0.25,normal,cocqs,0.28,153,2
1,200,200,1,0.25,cauchy,cqcs,0.4,53,2
1,200,200,1,0.25,cauchy,aocqs,0.4,53,2
1,200,200,1,0.25,cauchy,cocqs,0.4,55,1
1,200,200,1,0.5,normal,cqcs,0.235,3,3
1,200,200,1,0.5,normal,aocqs,0.235,3,3
1,200,200,1,0.5,normal,cocqs,0.235,58,2
1,200,200,1,0.5,cauchy,cqcs,0.345,11,3
1,200,200,1,0.5,cauchy,aocqs,0.345,11,3
1,200,200,1,0.5,cauchy,cocqs,0.345,51,2
1,200,200,1,0.75,normal,cqcs,0.23,4,3
1,200,200,1,0.75,normal,aocqs,0.23,8,3
1,200,200,1,0.75,normal,cocqs,0.23,142,1
1,200,200,1,0.75,cauchy,cqcs,0.32,9,3
1,200,200,1,0.75,cauchy,aocqs,0.32,4,3
1,200,200,1,0.75,cauchy,cocqs,0.32,130,1
1,200,500,0,0.25,normal,cqcs,0.21,3,3
1,200,500,0,0.25,normal,aocqs,0.21,3,3
1,200,500,0,0.25,normal,cocqs,0.21,4,3
1,200,500,0,0.25,cauchy,cqcs,0.295,150,2
1,200,500,0,0.25,cauchy,aocqs,0.295,150,2
1,200,500,0,0.25,cauchy,cocqs,0.295,300,1
1,200,500,0,0.5,normal,cqcs,0.21,3,3
1,200,500,0,0.5,normal,aocqs,0.21,3,3
1,200,500,0,0.5,normal,cocqs,0.21,5,3
1,200,500,0,0.5,cauchy,cqcs,0.295,3,3
1,200,500,0,0.5,cauchy,aocqs,0.295,3,3
1,200,500,0,0.5,cauchy,cocqs,0.295,151,2
1,200,500,0,0.75,normal,cqcs,0.21,3,3
1,200,500,0,0.75,normal,aocqs,0.21,6,3
1,200,500,0,0.75,normal,cocqs,0.21,34,3
1,200,500,0,0.75,cauchy,cqcs,0.295,4,3
1,200,500,0,0.75,cauchy,aocqs,0.295,10,3
1,200,500,0,0.75,cauchy,cocqs,0.295,47,2
1,200,500,1,0.25,normal,cqcs,0.305,3,3
1,200,500,1,0.25,normal,aocqs,0.305,3,3
1,200,500,1,0.25,normal,cocqs,0.305,22,3
1,200,500,1,0.25,cauchy,cqcs,0.35,5,3
1,200,500,1,0.25,cauchy,aocqs,0.35,5,3
1,200,500,1,0.25,cauchy,cocqs,0.35,451,1
1,200,500,1,0.5,normal,cqcs,0.24,3,3
1,200,500,1,0.5,normal,aocqs,0.24,3,3
1,200,500,1,0.5,normal,cocqs,0.24,82,2
1,200,500,1,0.5,cauchy,cqcs,0.33,10,3
1,200,500,1,0.5,cauchy,aocqs,0.33,10,3
1,200,500,1,0.5,cauchy,cocqs,0.33,362,1
1,200,500,1,0.75,normal,cqcs,0.215,5,3
1,200,500,1,0.75,normal,aocqs,0.215,21,3
1,200,500,1,0.75,normal,cocqs,0.215,206,1
1,200,500,1,0.75,cauchy,cqcs,0.28,237,2
1,200,500,1,0.75,cauchy,aocqs,0.28,412,1
1,200,500,1,0.75,cauchy,cocqs,0.28,100,1
2,100,100,0,0.25,normal,cqcs,0.17,5,3
2,100,100,0,0.25,normal,aocqs,0.17,5,3
2,100,100,0,0.25,normal,cocqs,0.17,9,3
2,100,100,0,0.25,cauchy,cqcs,0.3,4,3
2,100,100,0,0.25,cauchy,aocqs,0.3,4,3
2,100,100,0,0.25,cauchy,cocqs,0.3,12,3
2,100,100,0,0.5,normal,cqcs,0.17,3,3
2,100,100,0,0.5,normal,aocqs,0.17,3,3
2,100,100,0,0.5,normal,cocqs,0.17,4,3
2,100,100,0,0.5,cauchy,cqcs,0.3,5,3
2,100,100,0,0.5,cauchy,aocqs,0.3,6,3
2,100,100,0,0.5,cauchy,cocqs,0.3,7,3
2,100,100,0,0.75,normal,cqcs,0.17,3,3
2,100,100,0,0.75,normal,aocqs,0.17,3,3
2,100,100,0,0.75,normal,cocqs,0.17,4,3
2,100,100,0,0.75,cauchy,cqcs,0.3,27,2
2,100,100,0,0.75,cauchy,aocqs,0.3,14,3
2,100,100,0,0.75,cauchy,cocqs,0.3,25,2
2,100,100,1,0.25,normal,cqcs,0.28,6,3
2,100,100,1,0.25,normal,aocqs,0.28,6,3
2,100,100,1,0.25,normal,cocqs,0.28,8,3
2,100,100,1,0.25,cauchy,cqcs,0.36,18,3
2,100,100,1,0.25,cauchy,aocqs,0.36,18,3
2,100,100,1,0.25,cauchy,cocqs,0.36,78,1
2,100,100,1,0.5,normal,cqcs,0.22,3,3
2,100,100,1,0.5,normal,aocqs,0.22,3,3
2,100,100,1,0.5,normal,cocqs,0.22,16,3
2,100,100,1,0.5,cauchy,cqcs,0.32,12,3
2,100,100,1,0.5,cauchy,aocqs,0.32,12,3
2,100,100,1,0.5,cauchy,cocqs,0.32,28,2
2,100,100,1,0.75,normal,cqcs,0.16,13,3
2,100,100,1,0.75,normal,aocqs,0.16,20,3
2,100,100,1,0.75,normal,cocqs,0.16,80,1
2,100,100,1,0.75,cauchy,cqcs,0.28,34,2
2,100,100,1,0.75,cauchy,aocqs,0.28,26,1
2,100,100,1,0.75,cauchy,cocqs,0.28,53,2
2,100,200,0,0.25,normal,cqcs,0.21,3,3
2,100,200,0,0.25,normal,aocqs,0.21,3,3
2,100,200,0,0.25,normal,cocqs,0.21,13,3
2,100,200,0,0.25,cauchy,cqcs,0.22,75,2
2,100,200,0,0.25,cauchy,aocqs,0.22,75,2
2,100,200,0,0.25,cauchy,cocqs,0.22,191,1
2,100,200,0,0.5,normal,cqcs,0.21,3,3
2,100,200,0,0.5,normal,aocqs,0.21,3,3
2,100,200,0,0.5,normal,cocqs,0.21,12,3
2,100,200,0,0.5,cauchy,cqcs,0.22,75,2
2,100,200,0,0.5,cauchy,aocqs,0.22,75,2
2,100,200,0,0.5,cauchy,cocqs,0.22,138,1
2,100,200,0,0.75,normal,cqcs,0.21,3,3
2,100,200,0,0.75,normal,aocqs,0.21,3,3
2,100,200,0,0.75,normal,cocqs,0.21,35,2
2,100,200,0,0.75,cauchy,cqcs,0.22,67,2
2,100,200,0,0.75,cauchy,aocqs,0.22,111,2
2,100,200,0,0.75,cauchy,cocqs,0.22,77,2
2,100,200,1,0.25,normal,cqcs,0.26,11,3
2,100,200,1,0.25,normal,aocqs,0.26,11,3
2,100,200,1,0.25,normal,cocqs,0.26,23,2
2,100,200,1,0.25,cauchy,cqcs,0.28,163,2
2,100,200,1,0.25,cauchy,aocqs,0.28,163,2
2,100,200,1,0.25,cauchy,cocqs,0.28,97,2
2,100,200,1,0.5,normal,cqcs,0.22,3,3
2,100,200,1,0.5,normal,aocqs,0.22,3,3
2,100,200,1,0.5,normal,cocqs,0.22,50,1
2,100,200,1,0.5,cauchy,cqcs,0.28,86,2
2,100,200,1,0.5,cauchy,aocqs,0.28,86,2
2,100,200,1,0.5,cauchy,cocqs,0.28,126,1
2,100,200,1,0.75,normal,cqcs,0.18,26,2
2,100,200,1,0.75,normal,aocqs,0.18,24,2
2,100,200,1,0.75,normal,cocqs,0.18,169,1
2,100,200,1,0.75,cauchy,cqcs,0.24,183,2
2,100,200,1,0.75,cauchy,aocqs,0.24,176,1
2,100,200,1,0.75,cauchy,cocqs,0.24,185,2
2,100,500,0,0.25,normal,cqcs,0.19,8,3
2,100,500,0,0.25,normal,aocqs,0.19,8,3
2,100,500,0,0.25,normal,cocqs,0.19,9,3
2,100,500,0,0.25,cauchy,cqcs,0.28,4,3
2,100,500,0,0.25,cauchy,aocqs,0.28,4,3
2,100,500,0,0.25,cauchy,cocqs,0.28,33,2
2,100,500,0,0.5,normal,cqcs,0.19,3,3
2,100,500,0,0.5,normal,aocqs,0.19,3,3
2,100,500,0,0.5,normal,cocqs,0.19,10,3
2,100,500,0,0.5,cauchy,cqcs,0.28,4,3
2,100,500,0,0.5,cauchy,aocqs,0.28,4,3
2,100,500,0,0.5,cauchy,cocqs,0.28,12,3
2,100,500,0,0.75,normal,cqcs,0.19,3,3
2,100,500,0,0.75,normal,aocqs,0.19,3,3
2,100,500,0,0.75,normal,cocqs,0.19,75,2
2,100,500,0,0.75,cauchy,cqcs,0.28,20,3
2,100,500,0,0.75,cauchy,aocqs,0.28,62,1
2,100,500,0,0.75,cauchy,cocqs,0.28,48,1
2,100,500,1,0.25,normal,cqcs,0.29,11,3
2,100,500,1,0.25,normal,aocqs,0.29,11,3
2,100,500,1,0.25,normal,cocqs,0.29,424,1
2,100,500,1,0.25,cauchy,cqcs,0.31,8,3
2,100,500,1,0.25,cauchy,aocqs,0.31,8,3
2,100,500,1,0.25,cauchy,cocqs,0.31,294,2
2,100,500,1,0.5,normal,cqcs,0.21,3,3
2,100,500,1,0.5,normal,aocqs,0.21,3,3
2,100,500,1,0.5,normal,cocqs,0.21,129,2
2,100,500,1,0.5,cauchy,cqcs,0.28,11,3
2,100,500,1,0.5,cauchy,aocqs,0.28,11,3
2,100,500,1,0.5,cauchy,cocqs,0.28,463,1
2,100,500,1,0.75,normal,cqcs,0.18,17,3
2,100,500,1,0.75,normal,aocqs,0.18,54,2
2,100,500,1,0.75,normal,cocqs,0.18,420,1
2,100,500,1,0.75,cauchy,cqcs,0.25,45,2
2,100,500,1,0.75,cauchy,aocqs,0.25,49,1
2,100,500,1,0.75,cauchy,cocqs,0.25,477,1
2,200,100,0,0.25,normal,cqcs,0.21,3,3
2,200,100,0,0.25,normal,aocqs,0.21,3,3
2,200,100,0,0.25,normal,cocqs,0.21,5,3
2,200,100,0,0.25,cauchy,cqcs,0.3,5,3
2,200,100,0,0.25,cauchy,aocqs,0.3,5,3
2,200,100,0,0.25,cauchy,cocqs,0.3,84,2
2,200,100,0,0.5,normal,cqcs,0.21,3,3
2,200,100,0,0.5,normal,aocqs,0.21,3,3
2,200,100,0,0.5,normal,cocqs,0.21,3,3
2,200,100,0,0.5,cauchy,cqcs,0.3,3,3
2,200,100,0,0.5,cauchy,aocqs,0.3,3,3
2,200,100,0,0.5,cauchy,cocqs,0.3,10,3
2,200,100,0,0.75,normal,cqcs,0.21,3,3
2,200,100,0,0.75,normal,aocqs,0.21,3,3
2,200,100,0,0.75,normal,cocqs,0.21,4,3
2,200,100,0,0.75,cauchy,cqcs,0.3,7,3
2,200,100,0,0.75,cauchy,aocqs,0.3,20,3
2,200,100,0,0.75,cauchy,cocqs,0.3,13,3
2,200,100,1,0.25,normal,cqcs,0.315,3,3
2,200,100,1,0.25,normal,aocqs,0.315,3,3
2,200,100,1,0.25,normal,cocqs,0.315,90,2
2,200,100,1,0.25,cauchy,cqcs,0.33,9,3
2,200,100,1,0.25,cauchy,aocqs,0.33,9,3
2,200,100,1,0.25,cauchy,cocqs,0.33,18,3
2,200,100,1,0.5,normal,cqcs,0.23,3,3
2,200,100,1,0.5,normal,aocqs,0.23,3,3
2,200,100,1,0.5,normal,cocqs,0.23,8,3
2,200,100,1,0.5,cauchy,cqcs,0.32,3,3
2,200,100,1,0.5,cauchy,aocqs,0.32,3,3
2,200,100,1,0.5,cauchy,cocqs,0.32,31,3
2,200,100,1,0.75,normal,cqcs,0.16,9,3
2,200,100,1,0.75,normal,aocqs,0.16,16,3
2,200,100,1,0.75,normal,cocqs,0.16,56,1
2,200,100,1,0.75,cauchy,cqcs,0.295,8,3
2,200,100,1,0.75,cauchy,aocqs,0.295,27,3
